numero,date,company,type
2010-04-06,2010/45,AEP Saint-Jean – Ecole Notre Dame,association
2010-04-19,2010/46,SARC,entreprise
2010-04-27,2010/47,Comité des Fêtes,association
2010-05-10,2010/51,LOIRE PYRO,entreprise
2011-03-28,2011/32,AEP Saint-Jean – Ecole Notre Dame,association
2011-03-28,2011/33,Foot Plus,association
2011-03-28,2011/34,SODILEC,entreprise
2011-04-13,2011/35,OUEST ROUTES,entreprise
2011-04-14,2011/36,EGC CANALISATION,entreprise
2011-04-14,2011/37,EGC CANALISATION,entreprise
2011-04-20,2011/39,EGC CANALISATION,entreprise
2011-05-20,2011/42,EGC CANALISATION,entreprise
2011-06-22,2011/48,SODILEC,entreprise
2011-06-30,2011/50,BRETHOME,entreprise
2011-06-30,2011/51,BRETHOME,entreprise
2011-07-15,2011/55,EGC CANALISATION,entreprise
2011-07-22,2011/56,SODILEC,entreprise
2011-07-29,2011/57,SODILEC,entreprise
2011-09-07,2011/64,CEGELEC,entreprise
2011-09-07,2011/65,CEGELEC,entreprise
2011-09-07,2011/66,SODILEC,entreprise
2011-09-15,2011/67,VIGILEC,entreprise
2011-10-06,2011/72,SODILEC,entreprise
2011-10-06,2011/73,EGC CANALISATION,entreprise
2011-10-14,2011/76,EGC CANALISATION,entreprise
2011-10-14,2011/77,CEGELEC,entreprise
2011-10-14,2011/78,CEGELEC,entreprise
2011-10-14,2011/79,SPIE,entreprise
2011-11-21,2011/82,ATEC Réhabilitation,entreprise
2011-11-02,2011/86,CEGELEC,entreprise
2011-11-02,2011/87,SODILEC,entreprise
2011-11-25,2011/91,EGC CANALISATION,entreprise
2012-03-13,2012/11,CEGELEC,entreprise
2012-03-13,2012/12,EGC CANALISATION,entreprise
2012-04-03,2012/17,AEP Saint-Jean – Ecole Notre Dame,association
2012-04-04,2012/18,Foot Plus,association
2012-04-20,2012/24,SODILEC,entreprise
2012-04-20,2012/25,CEGELEC,entreprise
2012-05-15,2012/27,PINSON Joël,entreprise
2012-05-25,2012/29,EGC CANALISATION,entreprise
2012-05-25,2012/30,EGC CANALISATION,entreprise
2012-05-25,2012/31,EGC CANALISATION,entreprise
2012-07-09,2012/36,MACORETZ,entreprise
2012-07-18,2012/40,EGC CANALISATION,entreprise
2012-07-19,2012/41,SEVMATP Presqu’île,entreprise
2012-09-18,2012/48,BREHARD,entreprise
2012-09-25,2012/50,CEGELEC,entreprise
2012-09-28,2012/55,BREHARD,entreprise
2012-10-04,2012/56,KUHN BLANCHARD,entreprise
2012-10-05,2012/57,EGC CANALISATION,entreprise
2012-10-05,2012/58,BRETHOME,entreprise
2012-10-05,2012/58,BRETHOME,entreprise
2012-10-26,2012/60,SODILEC,entreprise
2013-03-13,2013/17,CEGELEC,entreprise
2013-03-13,2013/18,EGC CANALISATION,entreprise
2013-03-13,2013/19,SODILEC,entreprise
2013-03-13,2013/20,AEP Saint-Jean – Ecole Notre Dame,association
2013-04-05,2013/24,CEGELEC,entreprise
2013-01-11,2013/2,EGC CANALISATION,entreprise
2013-05-31,2013/37,EGC CANALISATION,entreprise
2013-05-31,2013/38,EGC CANALISATION,entreprise
2013-01-15,2013/3,Foot Plus,association
2013-07-02,2013/41,BRETHOME,entreprise
2013-07-02,2013/42,BREHARD,entreprise
2013-07-02,2013/43,BREHARD,entreprise
2013-09-17,2013/58,SPIE,entreprise
2013-09-17,2013/59,SPIE,entreprise
2013-09-30,2013/64,SODILEC,entreprise
2013-10-02,2013/65,MABILEAU,entreprise
2013-10-15,2013/70,SODILEC,entreprise
2013-11-07,2013/74,VIGILEC,entreprise
2013-11-07,2013/75,SODITEL,entreprise
2013-11-19,2013/76,PINSON Joël,entreprise
2013-11-19,2013/77,PINSON Joël,entreprise
2013-11-25,2013/78,SODITEL,entreprise
2014-03-18,2014/12,SODILEC,entreprise
2014-03-28,2014/13,SODITEL,entreprise
2014-03-28,2014/14,SODITEL,entreprise
2014-04-02,2014/15,IMBERT,entreprise
2014-04-04,2014/16,SODITEL,entreprise
2014-04-08,2014/18,AEP Saint-Jean – Ecole Notre Dame,association
2014-01-10,2014/1,s,association
2014-04-10,2014/22,IMBERT,entreprise
2014-01-16,2014/2,SPIE,entreprise
2014-05-12,2014/36,SPIE,entreprise
2014-05-16,2014/38,SODITEL,entreprise
2014-05-16,2014/39,CLAVIER-GIRAUD,entreprise
2014-01-16,2014/3,VIGILEC,entreprise
2014-05-28,2014/40,PINSON Joël,entreprise
2014-05-28,2014/41,PINSON Joël,entreprise
2014-06-02,2014/42,CEGELEC,entreprise
2014-06-05,2014/43,FRANCE ARTIFICES,entreprise
2014-06-12,2014/44,SPIE,entreprise
2014-06-16,2014/46,ATOUT FRET,entreprise
2014-06-16,2014/47,Association des anciens ,association
2014-07-07,2014/48,SPIE,entreprise
2014-07-07,2014/49,SPIE,entreprise
2014-07-10,2014/50,VIGILEC,entreprise
2014-07-15,2014/52,SODITEL,entreprise
2014-07-21,2014/53,ETS FORCLUM,entreprise
2014-07-24,2014/54,EIFFAGE ENERGIE,entreprise
2014-07-29,2014/55,ARMOR RESEAUX CANALISATIONS,entreprise
2014-07-29,2014/56,SODITEL,entreprise
2014-07-30,2014/57,VIGILEC,entreprise
2014-09-02,2014/62,SODITEL,entreprise
2014-09-02,2014/63,EUROVIA Atlantique VIAUD MOTER,entreprise
2014-09-05,2014/64,SODITEL,entreprise
2014-09-11,2014/65,SEDVI,entreprise
2014-09-18,2014/66,CHARIER,entreprise
2014-09-25,2014/68,ALQUENRY-CRT,entreprise
2014-10-10,2014/70,SPIE,entreprise
2014-10-13,2014/72,VIGILEC,entreprise
2014-10-14,2014/73,SODITEL,entreprise
2014-11-14,2014/76,SPIE,entreprise
2014-11-14,2014/77,VIGILEC,entreprise
2014-11-25,2014/78,LA SIGNALISATION BRETAGNE,entreprise
2014-11-25,2014/79,BOTON GOUY,entreprise
2014-11-25,2014/80,SODITEL,entreprise
2015-03-02,2015/15,ARMOR RESEAUX CANALISATIONS,entreprise
2015-03-13,2015/16,EIFFAGE ENERGIE,entreprise
2015-03-27,2015/18,COLAS,entreprise
2015-03-27,2015/19,SODITEL,entreprise
2015-04-11,2015/20,AEP Saint-Jean – Ecole Notre Dame,association
2015-04-20,2015/21,SARL PENNETIER,entreprise
2015-04-20,2015/22,SODITEL,entreprise
2015-04-20,2015/23,VIGILEC,entreprise
2015-04-23,2015/24,SPIE,entreprise
2015-05-15,2015/27,SODITEL,entreprise
2015-05-21,2015/29,FEERIE,entreprise
2015-05-28,2015/32,EIFFAGE ENERGIE,entreprise
2015-05-28,2015/33,EIFFAGE ENERGIE,entreprise
2015-06-04,2015/34,SODITEL,entreprise
2015-06-11,2015/35,SPIE,entreprise
2015-06-18,2015/37,EIFFAGE ENERGIE,entreprise
2015-06-23,2015/38,COLAS,entreprise
2015-06-26,2015/39,EGC CANALISATION,entreprise
2015-06-29,2015/40,Foot Plus,association
2015-07-27,2015/44,SODITEL,entreprise
2015-07-30,2015/46,Foot Plus,association
2015-09-07,2015/49,CROCHET,entreprise
2015-01-27,2015/04,VIGILEC,entreprise
2015-09-14,2015/50,SODITEL,entreprise
2015-09-17,2015/51,SAUR,entreprise
2015-01-27,2015/05,SODITEL,entreprise
