,date,count
,2004-01-14,16
,2004-02-17,15
,2004-03-24,15
,2004-04-28,16
,2004-05-26,16
,2004-07-20,12
,2004-10-26,14
,2004-11-24,18
,2004-12-15,15
,2005-01-18,14
,2005-03-22,13
,2005-04-20,15
,2005-05-17,16
,2005-06-27,13
,2005-07-19,11
,2005-09-14,18
,2005-10-25,16
,2005-11-16,15
,2005-12-13,16
,2007-01-17,16
,2007-01-30,17
,2007-02-20,13
,2007-03-28,15
,2007-04-24,15
,2007-05-23,15
,2007-06-26,16
,2007-07-18,14
,2007-09-11,16
,2007-10-16,15
,2007-11-14,14
,2007-12-19,12
,2010-01-19,15
,2010-02-16,14
,2010-03-23,14
,2010-04-20,15
,2010-05-18,14
,2010-06-22,17
,2010-07-20,12
,2010-09-21,13
,2010-10-19,14
,2010-11-16,11
,2010-12-22,14
,2011-01-18,15
,2011-02-15,13
,2011-03-23,15
,2011-04-19,15
,2011-05-24,16
,2011-06-17,12
,2011-07-05,13
,2011-09-13,14
,2011-10-12,13
,2011-11-08,13
,2011-12-06,13
,2012-01-17,14
,2012-02-15,13
,2012-03-27,15
,2012-04-25,15
,2012-05-22,14
,2012-06-20,12
,2012-07-10,12
,2012-09-12,13
,2012-10-09,12
,2012-11-13,12
,2012-12-12,12
,2013-01-22,15
,2013-02-20,12
,2013-03-26,14
,2013-04-17,13
,2013-05-22,13
,2013-06-18,13
,2013-07-02,14
,2013-09-10,13
,2013-10-22,10
,2013-11-19,11
,2013-12-17,12
,2014-01-14,14
,2014-02-26,15
,2014-04-22,18
,2014-05-13,16
,2014-06-17,17
,2014-07-08,17
,2014-09-16,16
,2014-11-04,18
,2014-12-16,18
,2015-01-20,16
,2015-02-24,15
,2015-03-31,17
,2015-05-19,18
,2015-07-07,15
,2015-09-15,16
